Scenario;Type;Commit;Timer (in ms);Heap Memory (in Mb);Direct Memory (in Mb);Target Store Size
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;2;11274;9573;2384;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;3;11011;6097;2385;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;4;10852;9029;2387;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;5;11338;7937;2388;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;6;11363;7974;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;7;11316;6586;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;8;11899;6590;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;9;11644;6548;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;10;11689;6561;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;11;11600;6544;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;12;11705;6548;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;13;11535;6544;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;14;11646;6544;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;15;11596;6544;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;16;11641;6477;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;17;11644;6477;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;18;11508;6486;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;19;11588;6473;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;20;11565;6477;2389;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;1;6404;6653;2361;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;2;11911;6649;2362;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;3;11863;6648;2363;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;4;11548;6649;2365;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;5;11692;6649;2366;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;6;12050;6657;2368;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;7;11810;6649;2368;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;8;11731;6661;2368;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;9;11429;6649;2368;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;10;11489;6653;2368;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;11;11361;6661;2368;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;12;11343;6649;2368;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;13;11372;6665;2368;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;14;11450;6649;2368;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;15;11450;6649;2368;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;16;11367;6661;2368;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;17;11217;6649;2368;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;18;11321;6649;2368;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;19;11228;6649;2368;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;20;11545;6649;2368;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;1;26;5167;2381;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;2;23;5171;2381;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;3;23;5175;2385;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;4;21;5183;2385;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;5;21;5188;2385;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;6;101;5204;2389;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;7;90;5221;2389;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;8;122;5242;2392;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;9;146;5271;2395;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;10;178;5301;2402;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;11;129;5334;2404;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;12;120;5359;2407;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;13;161;5389;2414;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;14;177;5427;2418;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;15;214;5469;2425;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;16;163;5510;2429;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;17;156;5552;2432;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;18;185;5594;2440;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;19;195;5640;2443;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndex;20;234;5687;2454;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;1;23;5201;2359;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;2;23;5206;2359;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;3;23;5210;2363;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;4;21;5210;2364;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;5;21;5218;2364;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;6;100;5235;2367;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;7;88;5252;2368;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;8;119;5273;2371;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;9;145;5302;2374;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;10;165;5331;2381;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;11;126;5365;2382;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;12;118;5390;2385;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;13;155;5420;2393;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;14;180;5457;2397;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;15;207;5503;2403;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;16;162;5541;2407;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;17;149;5583;2411;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;18;179;5625;2418;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;19;204;5671;2421;100
CommitSomeFactsOnBaseStoreFromNonMaster;MultiVersionColumnImprintsIndexWithoutRLECompression;20;242;5721;2432;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;1;711;5243;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;2;688;5327;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;3;686;5415;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;4;691;5503;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;5;686;5592;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;6;1399;5772;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;7;1406;5944;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;8;1428;5198;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;9;1394;5366;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;10;1386;5542;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;11;1394;5718;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;12;1376;5895;2381;100
CommitSingleFactOnTargetStoreFromNonMaster;MultiVersionColumnImprintsIndex;13;1383;6071;2381;100
