Index;Distribution;Cardinality;Indexed fields;Cacheline length;Average query time (in ms)
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10000;2;64;5.99
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10000;3;8;7.03
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10000;3;16;5.97
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10000;3;32;6.53
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10000;3;64;7.14
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10000;3;8;3.45
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10000;3;16;3.69
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10000;3;32;4.19
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10000;3;64;7.14
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100000;1;8;8.87
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100000;1;16;8.88
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100000;1;32;8.22
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100000;1;64;7.85
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100000;1;8;6.99
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100000;1;16;7.48
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100000;1;32;6.82
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100000;1;64;9.6
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100000;2;8;6.45
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100000;2;16;5.74
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100000;2;32;5.99
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100000;2;64;7.22
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100000;2;8;3.52
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100000;2;16;3.5
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100000;2;32;5.17
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100000;2;64;6.37
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100000;3;8;6.7
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100000;3;16;6.19
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100000;3;32;6.29
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100000;3;64;7.11
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100000;3;8;4.2
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100000;3;16;3.36
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100000;3;32;5.4
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100000;3;64;7.38
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000000;1;8;9.17
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000000;1;16;8.36
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000000;1;32;8.34
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000000;1;64;8.42
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000000;1;8;7.2
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000000;1;16;8.34
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000000;1;32;8.02
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000000;1;64;7.66
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000000;2;8;6.65
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000000;2;16;5.26
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000000;2;32;6.16
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000000;2;64;6.81
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000000;2;8;4.15
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000000;2;16;3.91
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000000;2;32;4.38
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000000;2;64;7.06
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000000;3;8;6.18
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000000;3;16;6.06
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000000;3;32;6.4
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000000;3;64;6.85
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000000;3;8;3.48
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000000;3;16;3.68
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000000;3;32;4.34
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000000;3;64;6.72
MultiVersionColumnImprintsSecondaryRecordIndex;NonUniformLinearIncreasing;10;1;8;172.95
MultiVersionColumnImprintsSecondaryRecordIndex;NonUniformLinearIncreasing;10;1;16;155.63
MultiVersionColumnImprintsSecondaryRecordIndex;NonUniformLinearIncreasing;10;1;32;164.65
